title,price,my,make,model,body_type,battery,kw,range_km,odo
2021 Porsche Taycan Turbo S Y1A Auto AWD MY22,377797,2021,Porsche,Taycan,Sedan,AC460kW,460,405,0
2021 Porsche Taycan Turbo S Y1A Auto AWD MY21,369383,2021,Porsche,Taycan,Sedan,AC460kW,460,405,0
2021 Porsche Taycan Turbo Y1B Auto AWD MY22,306655,2021,Porsche,Taycan,Wagon,AC460kW,460,425,0
2021 Porsche Taycan Turbo Y1A Auto AWD MY22,303779,2021,Porsche,Taycan,Sedan,AC460kW,460,420,0
2021 Porsche Taycan Turbo Y1B Auto AWD MY21,297709,2021,Porsche,Taycan,Wagon,AC460kW,460,412,0
2021 Porsche Taycan Turbo Y1A Auto AWD MY21,294834,2021,Porsche,Taycan,Sedan,AC460kW,460,420,0
2021 Porsche Taycan 4S Y1B Auto AWD MY22,228164,2021,Porsche,Taycan,Wagon,AC360kW,360,436,0
2021 Porsche Taycan 4S Y1B Auto AWD MY21,222946,2021,Porsche,Taycan,Wagon,AC360kW,360,412,0
2021 Porsche Taycan 4S Y1A Auto AWD MY22,216875,2021,Porsche,Taycan,Sedan,AC320kW,320,365,0
2021 Porsche Taycan 4S Y1A Auto AWD MY21,211657,2021,Porsche,Taycan,Sedan,AC320kW,320,365,0
2021 Porsche Taycan 4 Y1B Auto AWD MY22,200048,2021,Porsche,Taycan,Wagon,AC280kW,280,437,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,189559,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 Porsche Taycan Turbo S Y1A Auto AWD MY22,377797,2021,Porsche,Taycan,Sedan,AC460kW,460,405,0
2021 Porsche Taycan Turbo S Y1A Auto AWD MY21,369383,2021,Porsche,Taycan,Sedan,AC460kW,460,405,0
2021 Porsche Taycan Turbo Y1B Auto AWD MY22,306655,2021,Porsche,Taycan,Wagon,AC460kW,460,425,0
2021 Porsche Taycan Turbo Y1A Auto AWD MY22,303779,2021,Porsche,Taycan,Sedan,AC460kW,460,420,0
2021 Porsche Taycan Turbo Y1B Auto AWD MY21,297709,2021,Porsche,Taycan,Wagon,AC460kW,460,412,0
2021 Porsche Taycan Turbo Y1A Auto AWD MY21,294834,2021,Porsche,Taycan,Sedan,AC460kW,460,420,0
2021 Porsche Taycan 4S Y1B Auto AWD MY22,228164,2021,Porsche,Taycan,Wagon,AC360kW,360,436,0
2021 Porsche Taycan 4S Y1B Auto AWD MY21,222946,2021,Porsche,Taycan,Wagon,AC360kW,360,412,0
2021 Porsche Taycan 4S Y1A Auto AWD MY22,216875,2021,Porsche,Taycan,Sedan,AC320kW,320,365,0
2021 Porsche Taycan 4S Y1A Auto AWD MY21,211657,2021,Porsche,Taycan,Sedan,AC320kW,320,365,0
2021 Porsche Taycan 4 Y1B Auto AWD MY22,200048,2021,Porsche,Taycan,Wagon,AC280kW,280,437,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,189559,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 Porsche Taycan Turbo S Y1A Auto AWD MY22,377797,2021,Porsche,Taycan,Sedan,AC460kW,460,405,0
2021 Porsche Taycan Turbo S Y1A Auto AWD MY21,369383,2021,Porsche,Taycan,Sedan,AC460kW,460,405,0
2021 Porsche Taycan Turbo Y1B Auto AWD MY22,306655,2021,Porsche,Taycan,Wagon,AC460kW,460,425,0
2021 Porsche Taycan Turbo Y1A Auto AWD MY22,303779,2021,Porsche,Taycan,Sedan,AC460kW,460,420,0
2021 Porsche Taycan Turbo Y1B Auto AWD MY21,297709,2021,Porsche,Taycan,Wagon,AC460kW,460,412,0
2021 Porsche Taycan Turbo Y1A Auto AWD MY21,294834,2021,Porsche,Taycan,Sedan,AC460kW,460,420,0
2021 Porsche Taycan 4S Y1B Auto AWD MY22,228164,2021,Porsche,Taycan,Wagon,AC360kW,360,436,0
2021 Porsche Taycan 4S Y1B Auto AWD MY21,222946,2021,Porsche,Taycan,Wagon,AC360kW,360,412,0
2021 Porsche Taycan 4S Y1A Auto AWD MY22,216875,2021,Porsche,Taycan,Sedan,AC320kW,320,365,0
2021 Porsche Taycan 4S Y1A Auto AWD MY21,211657,2021,Porsche,Taycan,Sedan,AC320kW,320,365,0
2021 Porsche Taycan 4 Y1B Auto AWD MY22,200048,2021,Porsche,Taycan,Wagon,AC280kW,280,437,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,189559,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,186790,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,186790,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,186790,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 BMW iX xDrive50 Sport I20 Auto AWD,186790,2021,BMW,iX,SUV,AC385kW,385,630,0
2021 Audi e-tron 55 Auto quattro MY22,176300,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY22,176300,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY22,176300,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY22,176300,2021,Audi,e-tron,SUV,AC265kW,265,463,0
